index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
390,Show information about intent 82425,show information about intent 82425,Intent,GET,PropertyExpectation,/intent,Active,82425,MissionCriticalSetup002,3.6,2,Enterprise networks,False,IoTService,Premium,5 ms,100 Mbps,99.9%,500,60
391,I need an intent configured for provide smart city connectivity for urban infrastructure,i need an intent configured for provide smart city connectivity for urban infrastructure,IntentSpecification,POST,,/intentspecification,Created,25248,EventLiveServiceB,3.9,5,Smart city,False,BroadbandService,1080pHD,50 ms,500 Mbps,99.9%,50,15
392,Get all intents with priority 5,get all intents with priority 5,IntentReport,GET,,/intentreport,Created,37149,MissionCriticalProvisionv1,4.1,5,Cloud services,True,EventWirelessAccess,480p,5 ms,10 Gbps,99.9%,100,10
393,Update intent 61864 with new values,update intent 61864 with new values,Intent,PATCH,PropertyExpectation,/intent,Created,61864,SmartCityProvisionv2,4.9,5,Cloud services,True,CloudService,1080pHD,50 ms,100 Mbps,99.9%,5000,30
394,Preview the EventWirelessAccess intent outcome,preview the eventwirelessaccess intent outcome,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,94509,SmartGridIntentC,5.2,3,intent-based networks,True,EventWirelessAccess,4KUHD,20 ms,100 Mbps,99.99%,5000,5
395,Destroy intent 94542,destroy intent 94542,Intent,DELETE,PropertyExpectation,/intent,Created,94542,CloudServiceProvisionA,1.1,5,Enterprise networks,True,BroadbandService,Premium,5 ms,500 Mbps,99.99%,200,30
396,What is the current state compliance?,what is the current state compliance?,IntentReport,GET (IntentReport),,/intentreport,Created,97536,FactoryAutoServiceA,2.0,2,Video streaming,False,VideoStreaming,4KUHD,50 ms,1 Gbps,99.99%,5000,5
397,Get details of intent 96358,get details of intent 96358,ProbeIntent,GET,PropertyExpectation,/intent,Created,96358,EventLiveServicev2,2.8,3,Autonomous services,False,VideoStreaming,4KUHD,10 ms,100 Mbps,99.95%,200,60
398,Get all intents with priority 1,get all intents with priority 1,ProbeIntent,GET,DeliveryExpectation,/intent,Created,40632,IoTConnectIntentA,1.7,1,Video streaming,False,CloudService,720p,12 ms,10 Gbps,99.9%,50,10
399,Get intent report for provide mission critical communications for emergency services,get intent report for provide mission critical communications for emergency services,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,42517,AutonomousDeploymentv1,3.5,2,Broadband services,True,VideoStreaming,Standard,20 ms,500 Mbps,99.99%,100,5
400,Show all active intents,show all active intents,ProbeIntent,GET,PropertyExpectation,/intent,Created,24167,TelehealthDeploymentv2,4.7,4,intent-based networks,False,IoTService,1080pHD,5 ms,100 Mbps,99.95%,1000,60
401,Terminate intent EventLiveDeploymentv2,terminate intent eventlivedeploymentv2,IntentSpecification,DELETE,,/intentspecification,Active,84678,EventLiveDeploymentv2,2.9,5,IoT networks,False,EdgeComputing,720p,5 ms,500 Mbps,99.95%,500,30
402,Cancel all IoTService intents,cancel all iotservice intents,Intent,DELETE,DeliveryExpectation,/intent,Active,31272,MissionCriticalDeployment002,1.4,1,IoT networks,False,IoTService,Standard,10 ms,10 Gbps,99.999%,50,60
403,Modify NetworkSliceSetupv1 quality to standard quality,modify networkslicesetupv1 quality to standard quality,Intent,PATCH,DeliveryExpectation,/intent,Created,62626,NetworkSliceSetupv1,3.8,4,Cloud services,True,IoTService,Basic,100 ms,10 Gbps,99.9%,1000,15
404,Show information about intent 64686,show information about intent 64686,IntentSpecification,GET,,/intentspecification,Active,64686,BroadbandProvisionv2,2.3,4,Smart city,False,NetworkSlice,720p,12 ms,10 Gbps,99.95%,5000,5
405,Test intent expression for provide smart city connectivity for urban infrastructure,test intent expression for provide smart city connectivity for urban infrastructure,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,33213,MissionCriticalProvisionv2,5.8,3,5G networks,True,DataAnalytics,Standard,100 ms,100 Mbps,99.95%,500,60
406,Display report for VideoStreaming,display report for videostreaming,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,41233,NetworkSliceSetup002,1.3,3,Enterprise networks,True,VideoStreaming,720p,10 ms,10 Gbps,99.95%,100,30
407,What would happen if we enable high bandwidth connectivity for the convention center?,what would happen if we enable high bandwidth connectivity for the convention center?,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,93246,BroadbandServicev2,4.1,3,Video streaming,True,NetworkSlice,Standard,12 ms,500 Mbps,99.99%,200,10
408,Show intent validation results,show intent validation results,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,28495,SmartGridIntent002,2.7,5,Video streaming,True,VideoStreaming,Basic,100 ms,100 Mbps,99.99%,500,30
409,Set up a new intent for enable high bandwidth connectivity for the convention center,set up a new intent for enable high bandwidth connectivity for the convention center,Intent,POST,PropertyExpectation,/intent,Active,85211,VideoStreamSetupA,5.6,5,intent-based networks,True,IoTService,1080pHD,5 ms,500 Mbps,99.99%,200,60
410,Get intent health report,get intent health report,IntentReport,GET (IntentReport),,/intentreport,Active,24200,EdgeComputeSetupv2,5.2,4,Video streaming,True,VideoStreaming,720p,10 ms,10 Gbps,99.95%,50,10
411,Find intents related to IoTService,find intents related to iotservice,IntentSpecification,GET,,/intentspecification,Active,90762,NetworkSliceSetup002,2.0,1,Enterprise networks,True,IoTService,Standard,20 ms,10 Gbps,99.99%,500,5
412,Get intent report for deploy connected logistics for supply chain management,get intent report for deploy connected logistics for supply chain management,IntentReport,GET (IntentReport),,/intentreport,Active,89253,IoTConnectServicev1,3.1,2,intent-based networks,True,EdgeComputing,720p,5 ms,500 Mbps,99.99%,200,10
413,Show intent validation results,show intent validation results,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Active,37685,ConnectedCarDeploymentA,2.5,2,Cloud services,False,VoiceService,Premium,50 ms,1 Gbps,99.99%,100,10
414,Amend intent 40825 parameters,amend intent 40825 parameters,IntentSpecification,PATCH,,/intentspecification,Active,40825,EventLiveServiceA,4.7,1,Video streaming,False,DataAnalytics,4KUHD,100 ms,100 Mbps,99.99%,5000,5
415,Start a new VoiceService with ultra low latency under 5ms,start a new voiceservice with ultra low latency under 5ms,Intent,POST,DeliveryExpectation,/intent,Created,93946,NetworkSliceIntentv2,4.0,5,intent-based networks,False,VoiceService,4KUHD,20 ms,100 Mbps,99.99%,500,10
416,Evaluate enable edge computing capabilities for autonomous vehicles parameters,evaluate enable edge computing capabilities for autonomous vehicles parameters,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Active,94847,BroadbandProvision001,5.8,5,Video streaming,True,EventWirelessAccess,720p,100 ms,500 Mbps,99.99%,5000,15
417,Alter the properties of BroadbandServiceA,alter the properties of broadbandservicea,IntentSpecification,PATCH,,/intentspecification,Active,55850,BroadbandServiceA,1.7,4,Broadband services,True,EdgeComputing,Standard,50 ms,500 Mbps,99.99%,5000,10
418,Get intent health report,get intent health report,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,49468,EventLiveDeployment002,3.5,5,Video streaming,False,DataAnalytics,4KUHD,10 ms,1 Gbps,99.99%,200,30
419,Update intent 40188 to provide broadband service for residential area with 1Gbps throughput,update intent 40188 to provide broadband service for residential area with 1gbps throughput,Intent,PATCH,DeliveryExpectation,/intent,Active,40188,EdgeComputeDeploymentv1,1.9,3,Edge computing,False,StreamingApplication,480p,100 ms,500 Mbps,99.99%,100,15
420,Submit intent for provide video streaming service for the event venue,submit intent for provide video streaming service for the event venue,Intent,POST,ReportingExpectation,/intent,Active,59692,CloudServiceDeploymentv1,3.8,1,Video streaming,True,IoTService,480p,12 ms,10 Gbps,99.999%,5000,60
421,Simulate intent for enable edge computing capabilities for autonomous vehicles,simulate intent for enable edge computing capabilities for autonomous vehicles,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,47315,FactoryAutoIntentv1,5.6,3,Enterprise networks,True,VideoStreaming,Basic,100 ms,100 Mbps,99.95%,5000,60
422,Request deployment of provide low latency connectivity for factory automation with 5ms latency,request deployment of provide low latency connectivity for factory automation with 5ms latency,Intent,POST,DeliveryExpectation,/intent,Created,69710,IoTConnectSetupB,5.7,1,Video streaming,False,EventWirelessAccess,1080pHD,50 ms,500 Mbps,99.999%,5000,15
423,Generate monitoring report for provide mission critical communications for emergency services,generate monitoring report for provide mission critical communications for emergency services,IntentReport,GET (IntentReport),,/intentreport,Created,64398,TelehealthProvision002,1.6,5,Cloud services,False,VoiceService,480p,50 ms,500 Mbps,99.9%,200,10
424,Cancel all BroadbandService intents,cancel all broadbandservice intents,IntentSpecification,DELETE,,/intentspecification,Created,30001,CloudServiceSetupB,3.2,4,Enterprise networks,False,BroadbandService,720p,100 ms,1 Gbps,99.9%,500,60
425,What intents exist for 5G networks?,what intents exist for 5g networks?,IntentSpecification,GET,,/intentspecification,Created,22185,CloudServiceDeployment001,1.4,3,5G networks,False,VoiceService,Premium,10 ms,500 Mbps,99.999%,500,60
426,Set up enable high bandwidth connectivity for the convention center with priority 2,set up enable high bandwidth connectivity for the convention center with priority 2,IntentSpecification,POST,,/intentspecification,Active,72979,SmartGridSetup001,3.2,2,IoT networks,True,DataAnalytics,Basic,20 ms,100 Mbps,99.95%,100,60
427,Delete the intent for provide mission critical communications for emergency services,delete the intent for provide mission critical communications for emergency services,Intent,DELETE,PropertyExpectation,/intent,Created,33237,BroadbandIntentv2,3.9,1,intent-based networks,True,EventWirelessAccess,Premium,100 ms,10 Gbps,99.999%,200,10
428,Get intent health report,get intent health report,IntentReport,GET (IntentReport),,/intentreport,Created,37703,BroadbandIntentv2,2.1,4,Cloud services,False,IoTService,1080pHD,10 ms,100 Mbps,99.95%,500,60
429,What is the reporting status of AutonomousProvision001?,what is the reporting status of autonomousprovision001?,ProbeIntent,GET (IntentReport),PropertyExpectation,/intent,Active,45982,AutonomousProvision001,1.3,1,Edge computing,False,DataAnalytics,Basic,5 ms,10 Gbps,99.99%,200,60
430,Find intent named EdgeComputeDeploymentv2,find intent named edgecomputedeploymentv2,Intent,GET,PropertyExpectation,/intent,Active,66612,EdgeComputeDeploymentv2,4.7,4,Smart city,True,VoiceService,Basic,10 ms,1 Gbps,99.99%,1000,10
431,Update the context of NetworkSliceSetup001 to Edge computing,update the context of networkslicesetup001 to edge computing,Intent,PATCH,PropertyExpectation,/intent,Active,96751,NetworkSliceSetup001,3.2,2,Edge computing,True,VideoStreaming,720p,50 ms,1 Gbps,99.999%,200,10
432,Show all active intents,show all active intents,IntentSpecification,GET,,/intentspecification,Active,73580,IoTConnectIntent002,3.0,1,5G networks,False,CloudService,Standard,12 ms,1 Gbps,99.99%,50,10
433,Preview the EventWirelessAccess intent outcome,preview the eventwirelessaccess intent outcome,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Active,41098,TelehealthSetup001,2.5,5,Enterprise networks,False,EventWirelessAccess,4KUHD,10 ms,10 Gbps,99.95%,1000,10
434,Establish intent for deploy private 5G network for industrial automation,establish intent for deploy private 5g network for industrial automation,IntentSpecification,POST,,/intentspecification,Active,66281,BroadbandProvisionB,3.3,2,Cloud services,True,NetworkSlice,Premium,12 ms,100 Mbps,99.9%,200,10
435,What are the reporting metrics?,what are the reporting metrics?,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,70922,CloudServiceIntent001,1.1,5,Enterprise networks,True,DataAnalytics,720p,10 ms,1 Gbps,99.95%,200,30
436,Set up deploy network slice with 99.999% availability with priority 1,set up deploy network slice with 99.999% availability with priority 1,Intent,POST,PropertyExpectation,/intent,Active,85639,MissionCriticalDeployment001,5.6,1,Cloud services,False,IoTService,4KUHD,5 ms,100 Mbps,99.99%,500,5
437,Report on intent 51715,report on intent 51715,IntentSpecification,GET,,/intentspecification,Active,51715,TelehealthSetupB,3.7,1,Cloud services,False,NetworkSlice,Basic,12 ms,500 Mbps,99.9%,100,60
438,Adjust EventLiveSetup001 parameters,adjust eventlivesetup001 parameters,IntentSpecification,PATCH,,/intentspecification,Created,30585,EventLiveSetup001,4.0,3,intent-based networks,False,CloudService,Standard,5 ms,10 Gbps,99.95%,1000,60
439,Delete expired intents,delete expired intents,Intent,DELETE,DeliveryExpectation,/intent,Created,94759,ConnectedCarProvisionC,5.4,5,intent-based networks,True,EdgeComputing,Standard,50 ms,500 Mbps,99.99%,500,5
440,Generate monitoring report for provide video streaming service for the event venue,generate monitoring report for provide video streaming service for the event venue,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,68702,SmartGridServiceB,5.4,2,Autonomous services,False,IoTService,Premium,50 ms,1 Gbps,99.9%,500,15
441,Get monitoring data for NetworkSliceSetupB,get monitoring data for networkslicesetupb,IntentReport,GET (IntentReport),,/intentreport,Active,51003,NetworkSliceSetupB,5.5,3,IoT networks,False,VideoStreaming,480p,50 ms,10 Gbps,99.9%,200,5
442,Get degradation report for intent 92148,get degradation report for intent 92148,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,92148,GamingServicev1,2.7,3,Cloud services,True,EdgeComputing,4KUHD,5 ms,1 Gbps,99.9%,100,5
443,What is the state of CloudServiceServiceC?,what is the state of cloudserviceservicec?,Intent,GET,PropertyExpectation,/intent,Created,31866,CloudServiceServiceC,3.4,4,Enterprise networks,False,NetworkSlice,Premium,50 ms,10 Gbps,99.99%,5000,30
444,What is the current state compliance?,what is the current state compliance?,Intent,GET (IntentReport),PropertyExpectation,/intent,Active,52636,BroadbandSetup001,2.2,4,Broadband services,True,VoiceService,4KUHD,20 ms,100 Mbps,99.95%,500,60
445,Change the target of intent 62875,change the target of intent 62875,Intent,PATCH,DeliveryExpectation,/intent,Created,62875,GamingProvisionB,2.4,2,Video streaming,True,StreamingApplication,480p,100 ms,1 Gbps,99.999%,50,5
446,Cancel intent 48460,cancel intent 48460,IntentSpecification,DELETE,,/intentspecification,Created,48460,TelehealthProvision002,3.7,1,5G networks,True,DataAnalytics,480p,12 ms,10 Gbps,99.99%,100,15
447,Report on intent 31739,report on intent 31739,IntentReport,GET,,/intentreport,Created,31739,BroadbandDeploymentv2,5.0,5,Broadband services,True,VideoStreaming,4KUHD,20 ms,100 Mbps,99.95%,50,30
448,List all intents in the system,list all intents in the system,IntentReport,GET,,/intentreport,Created,30561,EdgeComputeProvisionC,2.8,1,intent-based networks,True,EdgeComputing,720p,5 ms,1 Gbps,99.9%,500,10
449,Update intent 41825 with new values,update intent 41825 with new values,IntentSpecification,PATCH,,/intentspecification,Created,41825,SmartGridSetup002,4.5,2,Enterprise networks,False,IoTService,1080pHD,20 ms,10 Gbps,99.99%,500,60
